COMPOUND_ID,pathogen_model,priority_tier,source_library,product_linkage_type,clean_smiles,similarity_to_training,ensemble_prediction,decision_scenario,reliability_status,MW,LogP,TPSA,SA_score
CMPD_162,EC,3,EC,urea,Cc1ccc2[nH]c(N(CCC#N)C(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)nc2n1,0.2941176470588235,0.9871472358703614,A,HIGH,450.5010000000002,0.5990900000000007,181.17,4.123518312983294
CMPD_669,EC,3,TRIPLE,amide,O=C(CS)NN1C(=O)CNC1=S,0.2857142857142857,0.7782926321029663,A,HIGH,205.264,-1.3358999999999996,61.440000000000005,3.5051194460232225
CMPD_161,EC,4,EC,urea,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNC(=O)NC[CH]C[C@](C)(C(=O)NO)S(C)(=O)=O)CCC[C@]21C,0.6081081081081081,0.9253096461296082,A,HIGH,534.7430000000003,4.022590000000002,124.6,4.552388489084954
CMPD_096,SA,1,SA,urea,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2n1,0.4454545454545454,0.9936635613441468,A,HIGH,691.7120000000002,3.830560000000002,170.42999999999995,4.517487632540008
CMPD_098,SA,1,SA,urea,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2c1,0.4423076923076923,0.990149700641632,A,HIGH,690.7240000000003,4.435560000000003,157.53999999999996,4.423729390781766
CMPD_087,SA,1,SA,urea,COc1ccc2nccc(CC[C@H]3OC[C@H](N(C)C(=O)N(C[CH]CNC(C)=O)c4ccc(-c5ccc(C=N)c(O)c5)c(F)c4)CO3)c2c1,0.4411764705882353,0.9822525382041932,A,HIGH,656.7350000000002,5.325660000000005,137.30999999999997,3.781671184430646
CMPD_069,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)N(C[C@H]1CNC(=O)O1)c1ccon1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3703703703703703,0.982061553001404,A,HIGH,537.5280000000002,3.065760000000001,161.08999999999995,4.251631951819826
CMPD_077,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)N1CCN(c2c(F)cccc2F)CCN1C(=O)CO)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3557692307692308,0.9772387742996216,A,HIGH,625.628,3.299060000000002,140.51,3.701389392443073
CMPD_479,SA,1,SA_CA,amide,CCC(=O)N(CCCNCCCCCCCCCCNCCCNCCc1cc[nH]c1)CCCc1ccccc1,0.4363636363636363,0.9729479074478148,A,HIGH,553.8800000000003,6.098400000000005,72.19,2.82081028053992
CMPD_086,SA,1,SA,urea,CC(=O)NC[CH]CN(C(=O)N(C)CCCNc1nc2ccccc2[nH]1)c1ccc(-c2ccc(C=N)c(O)c2)c(F)c1,0.3153153153153153,0.9715027451515198,A,HIGH,558.6380000000003,4.773060000000004,137.44,3.4132040385845395
CMPD_499,SA,1,SA_CA,amide,CC(C)[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4492753623188406,0.9516745805740356,A,HIGH,721.1130000000004,6.912200000000007,101.29,3.513600021696816
CMPD_500,SA,1,SA_CA,amide,CC(C)C[C@H](NC(=O)CS)C(=O)N(CCCNCCCCCCCCCCNCCCNCCc1c[nH]c2ccccc12)CCCc1ccccc1,0.4366197183098591,0.950322949886322,A,HIGH,735.1400000000003,7.302300000000007,101.29,3.546080325299693
